Run_ID,Range_(Nmi),Fuel_Fraction,Wingspan,Spans,Sweeps,Root_Chords,Tip_Chords,Swet,Sref,Taper Ratios,Wing Section Areas,L_D_Cruise,CD0,CDi_Cruise,CDw_Cruise,CD_Total_Cruise,CL_Cruise,Alpha_Cruise,AR,MTOW,Static_Margin,Section3_Stress_Pa,Stress_Ratio,Root_Moment_Sec3,Cost_Per_Hour
522,7000.0,0.3081820434034013,52.13379573439239,[ 3.61211462  5.87058189 13.68171253  3.07563271],[55.94829661 65.         45.         45.        ],[61.26498221 44.35324438  9.0373868   1.25676652],[44.35324438  9.0373868   1.25676652  0.16659395],1699.7144308111751,840.1585936422206,[0.72395752 0.20375932 0.13906304 0.1325576 ],[190.75257034 156.71703624  70.42082323   2.18886701],21.04133470699681,0.004973676708781462,0.004014378167575553,0.0002557456751910273,0.009232522356359124,0.19426459308998323,0.21165920157435686,3.2350233375495,1546988.18,"[-5.7302411  -3.46836881 -3.42464474 -2.35958698 -2.31999455 -2.3032363
 -2.25254546 -2.19249603 -2.15228117 -2.1352627 ]",194315726.8968413,0.6778455589424696,2458548.9387941263,11289.519991280904
523,7000.0,0.3081820434034013,70.31237016822823,[ 4.87162573  7.91759973 18.45239968  4.14807751],[45.3792827  65.         35.90857523 45.        ],[45.03349317 32.60233588  6.6430297   0.92379993],[32.60233588  6.6430297   0.92379993  0.1224567 ],1555.9074039376787,832.9079162998083,[0.72395752 0.20375932 0.13906304 0.1325576 ],[189.10635098 155.36454795  69.81308241   2.16997681],25.66810145312372,0.004937237951747035,0.001885754624539052,0.00019856212903285068,0.007026319421159633,0.180352279744379,-0.7313503906159757,5.935625417797567,1423805.594,"[ 0.70743678  8.84198568  8.99977316 12.11690339 12.23188318 12.29124798
 12.47088517 12.64534161 12.7621353  12.82242797]",306806945.13389015,1.0702567853507796,2853378.7097088043,9929.75479875629
524,7000.0,0.3081820434034013,47.20247756194457,[ 3.27044592  5.31528553 12.38756395  2.78470965],[65.         62.27673834 30.64840721 29.0869418 ],[58.16356547 42.10795042  8.57988723  1.19314524],[42.10795042  8.57988723  1.19314524  0.15816047],1435.3189580773994,722.1799585147746,[0.72395752 0.20375932 0.13906304 0.1325576 ],[163.96628491 134.71016495  60.53203238   1.88149702],20.520245551183834,0.005019121932798834,0.004998317535763933,0.0003047656141367191,0.01031614052018978,0.2116897366148116,1.0606616341088957,3.0852059264675615,1449029.754,"[-10.82929919  -7.70450225  -7.64393529  -6.12663106  -6.07008549
  -6.04674233  -5.97613057  -5.89034684  -5.83288803  -5.80917251]",178085724.78756213,0.6212292725147516,2139137.611299736,11070.563802332303
525,7000.0,0.3081820434034013,78.13443841626221,[ 5.41358141  8.7984121  20.50518114  4.60954034],[65.         64.74481413 45.         39.24161029],[56.39250848 40.8257804   8.31863314  1.15681445],[40.8257804   8.31863314  1.15681445  0.15334454],2230.1535116183845,1159.0269243838363,[0.72395752 0.20375932 0.13906304 0.1325576 ],[263.1495608  216.19640136  97.14788467   3.01961537],23.885721274204304,0.004710659188915823,0.0015038223422094116,0.00014302281368249101,0.006351867668077705,0.15171894069033412,-0.9096329213106844,5.267341369028348,1666730.548,"[24.44266191 25.15656798 25.17032843 25.46291528 25.47371509 25.47890348
 25.49459914 25.51097568 25.5219387  25.52720466]",324182551.04160184,1.130869364098611,3775457.9997453447,11007.645470549098
527,7000.0,0.3081820434034013,61.58022216833761,[ 4.26661473  6.93430685 16.1607818   3.63292454],[65.         57.58046729 45.         27.69703976],[44.17333747 31.9796197   6.51614548  0.90615503],[31.9796197   6.51614548  0.90615503  0.12011773],1328.4095037646828,715.535327750145,[0.72395752 0.20375932 0.13906304 0.1325576 ],[162.45766451 133.47072415  59.97508948   1.86418575],26.007027688952814,0.0048602339430520135,0.0026751978511906954,0.0002756180954482036,0.00780474552031778,0.20297823285213495,0.6810780767736202,5.299701657254826,1376615.378,"[ 0.12235929  7.92964626  8.08130879 11.03787787 11.14693196 11.20398187
 11.37662442 11.54211184 11.65290292 11.71085335]",256995650.73525256,0.8964964560532065,2344469.4668900077,9738.620083922831
526,7000.0,0.3081820434034013,40.189799145328266,[ 2.78456919  4.52561537 10.5471944   2.37099676],[39.99113173 65.         45.         32.62481328],[46.120825   33.38951793  6.80342538  0.94610505],[33.38951793  6.80342538  0.94610505  0.12541341],968.4217873696376,487.5762235090414,[0.72395752 0.20375932 0.13906304 0.1325576 ],[110.70102547  90.94890092  40.86790197   1.2702834 ],19.85397798955692,0.00536018612624781,0.008153660705689991,0.0005867703416290722,0.0141113693910675,0.2801668172927614,1.9667275871756988,3.3127537346206886,1294765.994,"[-27.13092678 -18.90515352 -18.74491662 -14.57585242 -14.41983222
 -14.35750588 -14.16895446 -13.9321427  -13.77347589 -13.71010516]",163986837.00020012,0.5720471058146516,1561941.092669489,10663.78377088226
528,7000.0,0.3081820434034013,78.96298631633167,[ 5.47098774  8.89171162 20.72262079  4.65842052],[65.         53.25062353 40.67495522 40.2857038 ],[44.87729169 32.48925265  6.61998794  0.92059568],[32.48925265  6.61998794  0.92059568  0.12203195],1733.7456587899514,932.1371577321577,[0.72395752 0.20375932 0.13906304 0.1325576 ],[211.63570794 173.87404454  78.13032742   2.42849897],26.175886312466922,0.0047820123289275054,0.0014402411229209487,0.00017020545993384748,0.006392130971209835,0.16731969359678742,-0.7758222056602604,6.689094149151819,1478287.654,"[10.48559453 16.93579168 17.06071133 19.47649399 19.56547126 19.61231731
 19.75407003 19.88905335 19.97941146 20.02697782]",343574274.4921545,1.1985149110191435,3184240.5756164575,10005.482829540204
529,7000.0,0.3081820434034013,81.47928013799356,[ 5.64533035  9.17506158 21.38298339  4.80686924],[65.         65.         45.         44.38432139],[60.18901199 43.57428765  8.87866711  1.23469448],[43.57428765  8.87866711  1.23469448  0.16366813],2496.3810556936673,1290.0127834809305,[0.72395752 0.20375932 0.13906304 0.1325576 ],[292.88905224 240.62954503 108.12692136   3.36087311],23.317138242034094,0.0046761042849617265,0.0013938909400028352,0.0001231619267551088,0.00619205961888332,0.14438111013641933,-1.189822112145099,5.146362250683673,1765372.916,"[26.37343263 25.42366966 25.40540136 25.00728903 24.99259157 24.98569897
 24.96484982 24.94256766 24.92765163 24.92065769]",336074893.4264207,1.1723542793944908,4177455.942060951,11454.485566562562
530,7000.0,0.3081820434034013,68.93375152353659,[ 4.77610748  7.7623589  18.09060243  4.06674592],[59.69474811 65.         33.90351867 34.28700085],[51.33664192 37.1655478   7.57282665  1.05310033],[37.1655478   7.57282665  1.05310033  0.13959645],1764.4646987245721,930.8698998914361,[0.72395752 0.20375932 0.13906304 0.1325576 ],[211.34798525 173.63765954  78.02410778   2.42519738],24.62030399215322,0.004772211616098926,0.0019392087506931474,0.00016448370106632345,0.006888935103680209,0.16960767643482233,-0.6126430492249373,5.104754273033079,1496464.989,"[ 9.5340942  13.90337294 13.9879498  15.73265198 15.79707699 15.82898187
 15.92551468 16.02324694 16.08867796 16.12107611]",295659089.9151125,1.031368918308532,3134565.049267882,10329.883121863679
531,7000.0,0.3081820434034013,66.39829767867299,[ 4.60043737  7.4768514  17.42521158  3.91716685],[42.88351246 65.         31.54269982 32.9360785 ],[51.21501502 37.07749509  7.55488509  1.05060532],[37.07749509  7.55488509  1.05060532  0.13926572],1701.5645648250904,894.5072517458105,[0.72395752 0.20375932 0.13906304 0.1325576 ],[203.09208136 166.85483723  74.97624559   2.33046169],24.267502217179853,0.004869577869596983,0.0021194428107127244,0.0001720764330690453,0.0071795394821129255,0.17422949030050572,-0.9961160894459005,4.928673217596773,1477194.223,"[-3.93049465  1.7593836   1.86958314  4.17837367  4.26370344  4.3053563
  4.43138254  4.56083369  4.64750508  4.68980626]",280789031.4301486,0.9794966212679602,2969860.4136135043,10336.628593342472
532,7000.0,0.3081820434034013,56.37072524467108,[ 3.90567228  6.34768587 14.79362949  3.32559032],[65.         65.         36.85076244 45.        ],[43.96487663 31.8287029   6.48539478  0.90187874],[31.8287029   6.48539478  0.90187874  0.11955088],1215.4062604595906,651.9121831483588,[0.72395752 0.20375932 0.13906304 0.1325576 ],[148.01244136 121.60292831  54.64229368   1.69842823],25.330582345439748,0.004924260176089461,0.0033116226100825294,0.00031867975422630325,0.008550275760104213,0.2165834642175372,1.4806438271206521,4.874366128983729,1338278.38,"[ 3.0767457  10.90402629 11.05627039 14.10964691 14.22246555 14.27995259
 14.45391855 14.62514017 14.73978338 14.79819164]",239815927.02150822,0.836567187284331,2177421.3445421536,9731.093236484568
534,7000.0,0.3081820434034013,54.83472636389844,[ 3.79924988  6.17472308 14.39053022  3.23497408],[58.70856902 65.         41.68131898 45.        ],[57.23710691 41.43723378  8.44322247  1.17414022],[41.43723378  8.44322247  1.17414022  0.15564121],1618.07219605718,825.5872376514747,[0.72395752 0.20375932 0.13906304 0.1325576 ],[187.44423828 153.99900212  69.19947419   2.15090423],22.35875942838127,0.004863708332123835,0.00346302945495313,0.00024705137262823884,0.008562496116398742,0.19144679077300839,0.2095848975983129,3.6420708536594075,1498108.024,"[-2.933739    0.29491183  0.35740571  1.78526176  1.83822121  1.8620406
  1.93409969  2.01443647  2.06823353  2.09242545]",209819835.41582823,0.7319296584273077,2480177.7684452054,10798.52420842506
536,7000.0,0.3081820434034013,79.58580215785325,[ 5.51413983  8.96184447 20.88606922  4.69516353],[58.06020768 65.         45.         40.37201145],[56.01640085 40.55349445  8.26315235  1.14909912],[40.55349445  8.26315235  1.14909912  0.15232182],2247.7487973634898,1172.6824223049787,[0.72395752 0.20375932 0.13906304 0.1325576 ],[266.24995321 218.74359802  98.29246786   3.05519207],23.851285003226568,0.004727842141075224,0.001439137798566738,0.0001374762582803613,0.006301306449556521,0.1502942560210423,-1.2345055820910829,5.401206485775828,1670532.261,"[18.33979183 20.04899367 20.08193641 20.78344722 20.80934203 20.82176436
 20.85934358 20.89860956 20.92489557 20.93750354]",328655522.8366526,1.1464727540813462,3802022.916727199,11027.24092433821
535,7000.0,0.3081820434034013,69.89257871191776,[ 4.84254028  7.87032866 18.34223188  4.12331192],[65.         65.         45.         30.95413607],[53.16346139 38.48808749  7.84230643  1.09057501],[38.48808749  7.84230643  1.09057501  0.144564  ],1871.0569317043949,977.4035901277455,[0.72395752 0.20375932 0.13906304 0.1325576 ],[221.9131584  182.3177136   81.92449135   2.5464317 ],24.416389737933546,0.004754839862352847,0.0019288519879607482,0.00016388596578095844,0.006855007035717476,0.16737452344035442,-0.2817754642029807,4.997907321338118,1550584.192,"[18.40728    21.17770296 21.2312531  22.34502083 22.38613916 22.40633284
 22.46742848 22.52979617 22.57154949 22.59205185]",288012835.289587,1.004695937056699,3162158.875517194,10535.083264233104
